Оюутны_хувийн_дугаар,Санал_1_өгсөн_хөтөлбөрийн_дугаар,Санал_2_өгсөн_хөтөлбөрийн_нэр,Санал_3_өгсөн_хөтөлбөрийн_нэр,Санал_4_өгсөн_хөтөлбөрийн_нэр,Баталгаажуулсан_Хөтөлбөрийн_дугаар,Баталгаажуулсан_Хөтөлбөрийн_нэр
0e545a73ed99528c52a9128caef1750e,Менежмент,Маркетинг,Санхүү,Аялал жуулчлалын менежмент,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
123eb2012ccd54ae34d844aa3dc7a31f,Маркетинг,Менежмент,Худалдаа,Даатгал,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
fe1826e09936ae84017ec8ed19e82660,Банк,Санхүү,Менежмент,Маркетинг,a4fe004a3a0bad5652f080838d7fc0e5,Банк
e5c98378fbd225876841dd7c7b3b2aac,Санхүү,Менежмент,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
3a3a477198b2a974b680e8247b78e489,Санхүү,Банк,Нягтлан бодох бүртгэл,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
b77659020aef4db1c678f1a9981d9b0e,Нягтлан бодох бүртгэл,Маркетинг,Менежмент,Санхүү,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
6333a608cd3d2fc1da01b927733b5454,Нягтлан бодох бүртгэл,Санхүү,Банк,Менежмент,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
fe0cd02443c37eb3f6c4b0806a5368fb,Санхүү,Банк,Нягтлан бодох бүртгэл,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
aa89980b406add379e290d38d950adb6,Санхүү,Банк,Менежмент,Нягтлан бодох бүртгэл,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
6a7562b6d8ac0b4f755195f79deebdd7,Санхүү,Менежмент,Банк,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
81c334336fd2b95e5ca6e5ce76080409,Худалдаа,Санхүү,Нягтлан бодох бүртгэл,Менежмент,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
0161d485acbe5b0e8d463214c784b6c0,Менежмент,Нягтлан бодох бүртгэл,Санхүү,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
1caf4850b45deae9f678ced32a80cee3,Менежмент,Банк,Санхүү,Маркетинг,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
ebc4b14f115dce4a413168dcd3b9b8b8,Маркетинг,Менежмент,Санхүү,Даатгал,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
567c4db706bfb01364e1d1acbd3f6592,Нягтлан бодох бүртгэл,Аялал жуулчлалын менежмент,Санхүү,Банк,582c9526b4ba261341a599d529401e48,Нягтлан бодох бүртгэл
e0a798f1929799311d472096a44e212b,Менежмент,Аялал жуулчлалын менежмент,Маркетинг,Худалдаа,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
d75c150151301877fce8a511b4aff619,Маркетинг,Санхүү,Худалдаа,Менежмент,a02b0cee98b118d3f5b5533401ca2f04,Маркетинг
764ec53f6b7a51c2a1c7262dd267706f,Санхүү,Даатгал,Нягтлан бодох бүртгэл,Маркетинг,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
447d161ceb7cf16a8d0e25dcf973c470,Санхүү,Нягтлан бодох бүртгэл,Менежмент,Банк,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
5add728a6638b99be0ecf680c2004393,Менежмент,Санхүү,Банк,Нягтлан бодох бүртгэл,23e8b413e0c1f907347124cbee8dbc1c,Менежмент
e666e32714905fc5d3792aaf5d98ceb8,Санхүү,Банк,Нягтлан бодох бүртгэл,Даатгал,c2f712f087c7d28e042e341eec9fc3f3,Санхүү
